         1395536 function calls (1390085 primitive calls) in 4.644 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      626    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
      636    0.002    0.000    0.002    0.000 sre_parse.py:81(groups)
       22    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      457    0.001    0.000    0.003    0.000 libtcodpy.py:409(__getattr__)
      784    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
       70    0.001    0.000    0.011    0.000 libtcodpy.py:379(__init__)
      278    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      265    0.001    0.000    0.004    0.000 sre_parse.py:84(opengroup)
  212/209    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      540    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.001    0.001    0.003    0.003 yacc.py:313(set_defaulted_states)
      225    0.001    0.000    0.002    0.000 {built-in method builtins.any}
       22    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
      180    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      232    0.001    0.000    0.010    0.000 _internal.py:20(decorator)
       20    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
     1022    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      458    0.001    0.000    0.002    0.000 _internal.py:185(__getattr__)
      966    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      224    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
       78    0.001    0.000    0.002    0.000 sre_parse.py:267(getuntil)
      276    0.001    0.000    0.002    0.000 _internal.py:73(_int)
        4    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      457    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.001    0.001    0.007    0.007 yacc.py:3127(get_pfunctions)
        1    0.001    0.001    0.001    0.001 {built-in method tcod._libtcod.TCOD_console_set_custom_font}
      164    0.001    0.000    0.139    0.001 re.py:271(_compile)
      672    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      195    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      848    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
   331/15    0.001    0.000    0.213    0.014 {built-in method builtins.__import__}
       22    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      212    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:318(__exit__)
      435    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
    180/4    0.001    0.000    0.476    0.119 <frozen importlib._bootstrap_external>:722(exec_module)
      224    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
      180    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      225    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
       53    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
      488    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      670    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       69    0.001    0.000    0.004    0.000 input_handlers.py:6(handle_keys)
      207    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      195    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      195    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      119    0.001    0.000    0.002    0.000 typing.py:110(_type_check)
      220    0.001    0.000    0.003    0.000 sre_compile.py:423(_simple)
      375    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:403(cached)
      169    0.001    0.000    0.002    0.000 inspect.py:714(getmodule)
      169    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:269(_module_repr)
      171    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
      261    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
    298/4    0.001    0.000    0.474    0.119 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      180    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       58    0.001    0.000    0.002    0.000 lex.py:305(token)
        1    0.001    0.001    0.005    0.005 yacc.py:1978(read_table)
      540    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      572    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      138    0.001    0.000    0.006    0.000 render_functions.py:28(draw_entity)
  204/192    0.001    0.000    0.010    0.000 typing.py:245(inner)
      576    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       15    0.001    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
       53    0.001    0.000    0.137    0.003 sre_compile.py:759(compile)
      265    0.001    0.000    0.006    0.000 sre_parse.py:96(closegroup)
        8    0.001    0.000    0.135    0.017 __init__.py:1(<module>)
      239    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      547    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      102    0.001    0.000    0.001    0.000 typing.py:162(_collect_type_vars)
      548    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
