         1395536 function calls (1390085 primitive calls) in 4.644 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       23    0.000    0.000    0.000    0.000 overrides.py:183(decorator)
       35    0.000    0.000    0.000    0.000 yacc.py:254(__len__)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
       22    0.000    0.000    0.000    0.000 typing.py:196(_check_generic)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        1    0.000    0.000    0.006    0.006 inspect.py:27(<module>)
        7    0.000    0.000    0.003    0.000 warnings.py:130(filterwarnings)
       43    0.000    0.000    0.000    0.000 typing.py:626(<genexpr>)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
       32    0.000    0.000    0.000    0.000 typing.py:314(__eq__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        1    0.000    0.000    0.013    0.013 npyio.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:24(<module>)
       32    0.000    0.000    0.000    0.000 yacc.py:257(lineno)
        1    0.000    0.000    0.015    0.015 index_tricks.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
       16    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
    23/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        2    0.000    0.000    0.000    0.000 enum.py:654(<listcomp>)
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:841(__init_subclass__)
        1    0.000    0.000    0.002    0.002 fftpack.py:32(<module>)
       26    0.000    0.000    0.002    0.000 core.py:6567(__init__)
       54    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 console.py:180(_init_setup_console_data)
       10    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
     14/7    0.000    0.000    0.001    0.000 model.py:56(get_cached_btype)
        1    0.000    0.000    0.000    0.000 typing.py:1449(IO)
       21    0.000    0.000    0.000    0.000 c_parser.py:182(_is_type_in_scope)
        1    0.000    0.000    0.010    0.010 __init__.py:41(<module>)
       51    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.001    0.001 c_ast.py:19(<module>)
       15    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
       14    0.000    0.000    0.000    0.000 mixins.py:30(_reflected_binary_method)
        2    0.000    0.000    0.026    0.013 __init__.py:45(<module>)
       25    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       18    0.000    0.000    0.000    0.000 plyparser.py:42(optrule)
       34    0.000    0.000    0.000    0.000 _add_newdocs.py:6825(<genexpr>)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.045    0.045 cparser.py:1(<module>)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
       25    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        2    0.000    0.000    0.110    0.055 cparser.py:265(_parse)
        1    0.000    0.000    0.009    0.009 utils.py:4(<module>)
        8    0.000    0.000    0.000    0.000 game_map.py:61(create_h_tunnel)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       29    0.000    0.000    0.000    0.000 typing.py:769(<genexpr>)
       11    0.000    0.000    0.000    0.000 c_parser.py:853(p_init_declarator_list)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
        1    0.000    0.000    0.002    0.002 __init__.py:86(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method nt._isdir}
       13    0.000    0.000    0.000    0.000 abc.py:125(__new__)
        2    0.000    0.000    0.000    0.000 cparser.py:690(_get_struct_union_enum_type)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
       11    0.000    0.000    0.000    0.000 c_parser.py:862(p_init_declarator)
       44    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.005    0.005 random.py:38(<module>)
        2    0.000    0.000    0.000    0.000 cparser.py:155(_preprocess)
        2    0.000    0.000    0.000    0.000 console.py:357(clear)
       10    0.000    0.000    0.000    0.000 typing.py:530(__init__)
    23/10    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
       48    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        7    0.000    0.000    0.001    0.000 c_parser.py:681(p_decl_body)
        1    0.000    0.000    0.004    0.004 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       37    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.080    0.080 lex.py:211(readtab)
        1    0.000    0.000    0.005    0.005 pickle.py:24(<module>)
       18    0.000    0.000    0.001    0.000 core.py:995(__init__)
        2    0.000    0.000    0.002    0.001 enum.py:389(_create_)
        4    0.000    0.000    0.000    0.000 _internal.py:157(_commastring)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       21    0.000    0.000    0.000    0.000 c_parser.py:201(_lex_type_lookup_func)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
       14    0.000    0.000    0.000    0.000 c_parser.py:1094(p_xxx_declarator_1)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.218    0.218 loader.py:2(<module>)
       14    0.000    0.000    0.000    0.000 c_parser.py:1088(p_declarator)
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
        1    0.000    0.000    0.001    0.001 path.py:42(<module>)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
       17    0.000    0.000    0.000    0.000 c_parser.py:351(_add_declaration_specifier)
        1    0.000    0.000    0.009    0.009 shutil.py:5(<module>)
        1    0.000    0.000    0.011    0.011 case.py:1(<module>)
        8    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        9    0.000    0.000    0.000    0.000 lex.py:263(begin)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
        1    0.000    0.000    0.009    0.009 threading.py:1(<module>)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:68(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        8    0.000    0.000    0.000    0.000 game_map.py:66(create_v_tunnel)
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
       14    0.000    0.000    0.000    0.000 plyparser.py:35(_create_opt_rule)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       35    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       15    0.000    0.000    0.000    0.000 arrayprint.py:1499(_array_str_implementation)
        1    0.000    0.000    0.007    0.007 loader.py:29(verify_dependencies)
        1    0.000    0.000    0.101    0.101 c_parser.py:21(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        1    0.000    0.000    0.011    0.011 yacc.py:62(<module>)
       21    0.000    0.000    0.000    0.000 typing.py:778(<genexpr>)
        6    0.000    0.000    0.000    0.000 c_parser.py:822(p_type_specifier_no_typeid)
       12    0.000    0.000    0.000    0.000 c_parser.py:838(p_type_specifier)
       16    0.000    0.000    0.000    0.000 _add_newdocs.py:6784(type_aliases_gen)
        5    0.000    0.000    0.000    0.000 c_parser.py:529(p_translation_unit_2)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
        4    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
       18    0.000    0.000    0.000    0.000 lex.py:1090(set_regex)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
       30    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
       12    0.000    0.000    0.000    0.000 opcode.py:43(name_op)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6824(<genexpr>)
        1    0.000    0.000    0.003    0.003 financial.py:12(<module>)
        2    0.000    0.000    0.000    0.000 cparser.py:213(_common_type_names)
        2    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
       30    0.000    0.000    0.000    0.000 rectangle.py:2(__init__)
        2    0.000    0.000    0.032    0.016 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 c_parser.py:19(CParser)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        9    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       30    0.000    0.000    0.000    0.000 plyparser.py:20(__init__)
        1    0.000    0.000    0.008    0.008 __init__.py:15(<module>)
        9    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
        1    0.000    0.000    0.000    0.000 _internal.py:272(_get_void_ptr)
        1    0.000    0.000    0.017    0.017 yacc.py:3214(yacc)
       10    0.000    0.000    0.000    0.000 os.py:743(encodekey)
        2    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
        4    0.000    0.000    0.000    0.000 typing.py:816(__class_getitem__)
        1    0.000    0.000    0.037    0.037 platform.py:10(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:197(_sanity_check)
        9    0.000    0.000    0.000    0.000 {built-in method def_extern_decorator}
        1    0.000    0.000    0.014    0.014 subprocess.py:42(<module>)
       14    0.000    0.000    0.000    0.000 c_lexer.py:326(t_NEWLINE)
        1    0.000    0.000    0.000    0.000 {built-in method _cffi_backend._get_common_types}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
       14    0.000    0.000    0.000    0.000 __init__.py:31(register_func)
        6    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.024    0.024 c_parser.py:9(<module>)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        8    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2118(Chebyshev)
       28    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       14    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
       14    0.000    0.000    0.000    0.000 _string_helpers.py:44(english_upper)
        1    0.000    0.000    0.035    0.035 __init__.py:7(<module>)
        8    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        4    0.000    0.000    0.000    0.000 typing.py:238(_tp_cache)
        8    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
        2    0.000    0.000    0.002    0.001 enum.py:633(_convert)
        6    0.000    0.000    0.000    0.000 model.py:264(__init__)
       29    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
        1    0.000    0.000    0.002    0.002 polynomial.py:57(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
       13    0.000    0.000    0.000    0.000 os.py:737(check_str)
        1    0.000    0.000    0.000    0.000 loader.py:60(get_sdl_version)
        8    0.000    0.000    0.000    0.000 path.py:83(_get_pathcost_func)
        8    0.000    0.000    0.000    0.000 core.py:2551(_arraymethod)
        1    0.000    0.000    0.001    0.001 _internal.py:2(<module>)
        6    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        5    0.000    0.000    0.000    0.000 c_parser.py:766(p_declaration_specifiers_no_type_2)
        4    0.000    0.000    0.001    0.000 api.py:429(_get_cached_btype)
        5    0.000    0.000    0.000    0.000 c_parser.py:802(p_declaration_specifiers_6)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
       22    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
        1    0.000    0.000    0.000    0.000 color.py:11(Color)
       13    0.000    0.000    0.000    0.000 mixins.py:40(_inplace_binary_method)
       24    0.000    0.000    0.000    0.000 c_ast.py:716(__init__)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.082    0.082 lex.py:863(lex)
        1    0.000    0.000    0.000    0.000 console.py:112(__init__)
       25    0.000    0.000    0.000    0.000 lex.py:722(<lambda>)
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
       23    0.000    0.000    0.000    0.000 enum.py:628(value)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
        1    0.000    0.000    0.007    0.007 tempfile.py:24(<module>)
        1    0.000    0.000    0.460    0.460 libtcodpy.py:866(console_init_root)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:643(BufferingFormatter)
       23    0.000    0.000    0.000    0.000 enum.py:623(name)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.007    0.007 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
       14    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      4/1    0.000    0.000    0.000    0.000 _internal.py:88(_array_descr)
       10    0.000    0.000    0.001    0.000 extras.py:238(__init__)
       17    0.000    0.000    0.000    0.000 rectangle.py:8(center)
       10    0.000    0.000    0.000    0.000 abc.py:130(register)
        3    0.000    0.000    0.000    0.000 ntpath.py:75(join)
       23    0.000    0.000    0.000    0.000 overrides.py:179(array_function_from_dispatcher)
        4    0.000    0.000    0.001    0.000 core.py:123(doc_note)
       20    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        7    0.000    0.000    0.000    0.000 c_parser.py:741(p_declaration)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.001    0.001 bsp.py:33(BSP)
        4    0.000    0.000    0.001    0.000 warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.107    0.107 cparser.py:351(_internal_parse)
        1    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        9    0.000    0.000    0.000    0.000 c_parser.py:163(_add_typedef_name)
        7    0.000    0.000    0.000    0.000 c_parser.py:546(p_external_declaration_2)
        2    0.000    0.000    0.000    0.000 c_parser.py:1171(p_direct_xxx_declarator_6)
        4    0.000    0.000    0.000    0.000 c_parser.py:1564(p_typedef_name)
        8    0.000    0.000    0.000    0.000 {method 'addressof' of 'CompiledFFI' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.002    0.002 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.003    0.003 api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        3    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        9    0.000    0.000    0.000    0.000 weakref.py:336(__new__)
        9    0.000    0.000    0.000    0.000 cparser.py:532(_extract_quals)
        7    0.000    0.000    0.000    0.000 opcode.py:47(jrel_op)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
        1    0.000    0.000    0.000    0.000 linecache.py:82(updatecache)
       18    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        3    0.000    0.000    0.000    0.000 c_parser.py:971(p_struct_declaration_1)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.013    0.013 overrides.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
        2    0.000    0.000    0.003    0.002 api.py:826(_make_ffi_library)
        1    0.000    0.000    0.003    0.003 lex.py:34(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2758(geterr)
       13    0.000    0.000    0.000    0.000 _internal.py:886(npy_ctypes_check)
       18    0.000    0.000    0.000    0.000 lex.py:1089(TOKEN)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        2    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
       17    0.000    0.000    0.000    0.000 typing.py:173(<listcomp>)
       16    0.000    0.000    0.000    0.000 c_ast.py:955(__init__)
        1    0.000    0.000    0.002    0.002 base64.py:3(<module>)
        1    0.000    0.000    0.010    0.010 _datasource.py:35(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        6    0.000    0.000    0.000    0.000 opcode.py:51(jabs_op)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6783(numeric_type_aliases)
        1    0.000    0.000    0.000    0.000 noise.py:51(Noise)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
       14    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 ntpath.py:178(split)
        4    0.000    0.000    0.000    0.000 c_parser.py:797(p_declaration_specifiers_5)
        6    0.000    0.000    0.000    0.000 functools.py:479(decorating_function)
        2    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        5    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       16    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
        1    0.000    0.000    0.000    0.000 path.py:142(NodeCostArray)
       14    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        3    0.000    0.000    0.000    0.000 enum.py:830(__or__)
        5    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
        9    0.000    0.000    0.000    0.000 {method 'cast' of 'CompiledFFI' objects}
        3    0.000    0.000    0.000    0.000 os.py:681(__setitem__)
        5    0.000    0.000    0.000    0.000 typing.py:297(__new__)
        6    0.000    0.000    0.000    0.000 typing.py:677(__mro_entries__)
        3    0.000    0.000    0.000    0.000 cparser.py:544(_get_type_pointer)
       14    0.000    0.000    0.000    0.000 c_parser.py:347(<listcomp>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        5    0.000    0.000    0.000    0.000 c_parser.py:808(p_storage_class_specifier)
        4    0.000    0.000    0.000    0.000 c_lexer.py:247(t_PPHASH)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.000    0.000 info.py:156(<module>)
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       16    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        2    0.000    0.000    0.003    0.002 api.py:137(dlopen)
        4    0.000    0.000    0.000    0.000 linecache.py:15(getline)
        1    0.000    0.000    0.000    0.000 cparser.py:647(_parse_function_type)
        2    0.000    0.000    0.000    0.000 c_parser.py:1200(p_pointer)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 image.py:10(Image)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        3    0.000    0.000    0.000    0.000 c_parser.py:962(p_struct_declaration_list)
        1    0.000    0.000    0.000    0.000 libtcodpy.py:479(__init__)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        5    0.000    0.000    0.000    0.000 enum.py:907(_power_of_two)
        2    0.000    0.000    0.000    0.000 utils.py:75(__call__)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        7    0.000    0.000    0.000    0.000 c_parser.py:1836(p_empty)
        4    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        4    0.000    0.000    0.001    0.000 re.py:205(split)
        4    0.000    0.000    0.000    0.000 linecache.py:37(getlines)
       12    0.000    0.000    0.000    0.000 typing.py:542(<genexpr>)
        4    0.000    0.000    0.000    0.000 c_lexer.py:261(t_ppline_FILENAME)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:493(StringConverter)
        1    0.000    0.000    0.000    0.000 path.py:283(Dijkstra)
        1    0.000    0.000    0.004    0.004 render_functions.py:1(<module>)
        6    0.000    0.000    0.000    0.000 functools.py:445(lru_cache)
        3    0.000    0.000    0.000    0.000 c_parser.py:1019(p_struct_declarator_list)
        1    0.000    0.000    0.000    0.000 format.py:156(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.107    0.107 api.py:119(_cdef)
        2    0.000    0.000    0.000    0.000 c_parser.py:1245(p_parameter_list)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
        1    0.000    0.000    0.082    0.082 c_lexer.py:58(build)
        1    0.000    0.000    0.002    0.002 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.pointer}
        3    0.000    0.000    0.000    0.000 c_parser.py:892(p_specifier_qualifier_list_3)
        1    0.000    0.000    0.000    0.000 lextab.py:2(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:27(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 map.py:4(<module>)
        7    0.000    0.000    0.000    0.000 game_map.py:71(is_blocked)
        1    0.000    0.000    0.002    0.002 game_map.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        4    0.000    0.000    0.000    0.000 re.py:185(sub)
        4    0.000    0.000    0.000    0.000 c_lexer.py:277(t_ppline_NEWLINE)
        1    0.000    0.000    0.006    0.006 _distributor_init.py:10(<module>)
       10    0.000    0.000    0.000    0.000 _pytesttester.py:72(__init__)
        1    0.000    0.000    0.002    0.002 console.py:26(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:824(<genexpr>)
        1    0.000    0.000    0.005    0.005 py3k.py:4(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1021(_Unpickler)
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.005    0.005 c_lexer.py:9(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        9    0.000    0.000    0.000    0.000 weakref.py:341(__init__)
        2    0.000    0.000    0.000    0.000 model.py:207(__init__)
        5    0.000    0.000    0.000    0.000 model.py:328(build_c_name_with_marker)
        2    0.000    0.000    0.000    0.000 platform.py:834(architecture)
        2    0.000    0.000    0.000    0.000 c_parser.py:513(p_translation_unit_or_empty)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:95(_add_types)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.002    0.002 bsp.py:25(<module>)
        9    0.000    0.000    0.000    0.000 weakref.py:134(__getitem__)
        9    0.000    0.000    0.000    0.000 weakref.py:195(get)
        1    0.000    0.000    0.000    0.000 c_parser.py:1277(p_parameter_declaration_2)
        1    0.000    0.000    0.008    0.008 __init__.py:3(<module>)
        1    0.000    0.000    0.002    0.002 color.py:3(<module>)
        4    0.000    0.000    0.000    0.000 warnings.py:419(__init__)
        1    0.000    0.000    0.007    0.007 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        2    0.000    0.000    0.000    0.000 datetime.py:1187(__new__)
        1    0.000    0.000    0.000    0.000 _numpy_fft.py:54(<module>)
        1    0.000    0.000    0.000    0.000 yacc.py:2976(<listcomp>)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:398(__init__)
       11    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        4    0.000    0.000    0.002    0.000 warnings.py:96(_showwarnmsg)
        1    0.000    0.000    0.000    0.000 c_parser.py:935(p_struct_or_union_specifier_3)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 noise.py:35(<module>)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        9    0.000    0.000    0.000    0.000 {method 'def_extern' of 'CompiledFFI' objects}
       11    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
        3    0.000    0.000    0.000    0.000 model.py:272(build_backend_type)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
        1    0.000    0.000    0.001    0.001 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
